Partida,CapÌtulo,Programa,SubtÌtulo,Item,AsignaciÛn,DenominaciÛn,Monto Pesos,Monto DÛlar
1,1,1,8,,,OTROS INGRESOS CORRIENTES,118038,0
1,1,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,118038,0
1,1,1,9,,,APORTE FISCAL,16815182,0
1,1,1,9,1,,Libre,16815182,0
1,1,1,10,,,VENTA DE ACTIVOS NO FINANCIEROS,38934,0
1,1,1,10,3,,VehÌculos,38934,0
1,1,1,15,,,SALDO INICIAL DE CAJA,1000,0
1,1,1,21,,,GASTOS EN PERSONAL,5562997,0
1,1,1,22,,,BIENES Y SERVICIOS DE CONSUMO,7276514,0
1,1,1,24,,,TRANSFERENCIAS CORRIENTES,3361228,0
1,1,1,24,3,,A Otras Entidades P˙blicas,3361228,0
1,1,1,24,3,701,Apoyo Actividades Presidenciales,3361228,0
1,1,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,509795,0
1,1,1,29,3,,VehÌculos,170634,0
1,1,1,29,4,,Mobiliario y Otros,29388,0
1,1,1,29,5,,M·quinas y Equipos,125248,0
1,1,1,29,6,,Equipos Inform·ticos,41870,0
1,1,1,29,7,,Programas Inform·ticos,142655,0
1,1,1,31,,,INICIATIVAS DE INVERSI”N,261620,0
1,1,1,31,2,,Proyectos,261620,0
1,1,1,35,,,SALDO FINAL DE CAJA,1000,0
2,1,1,8,,,OTROS INGRESOS CORRIENTES,175048,0
2,1,1,8,1,,Recuperaciones y Reembolsos por Licencias MÈdicas,137916,0
2,1,1,8,99,,Otros,37132,0
2,1,1,9,,,APORTE FISCAL,38573354,0
2,1,1,9,1,,Libre,38573354,0
2,1,1,21,,,GASTOS EN PERSONAL,18606490,0
2,1,1,22,,,BIENES Y SERVICIOS DE CONSUMO,7050455,0
2,1,1,23,,,PRESTACIONES DE SEGURIDAD SOCIAL,93401,0
2,1,1,23,1,,Prestaciones Previsionales,93401,0
2,1,1,24,,,TRANSFERENCIAS CORRIENTES,11372767,0
2,1,1,24,1,,Al Sector Privado,863552,0
2,1,1,24,1,9,AplicaciÛn Ley N∞ 19.672,863552,0
2,1,1,24,3,,A Otras Entidades P˙blicas,10475266,0
2,1,1,24,3,1,Personal Apoyo Senadores,2908866,0
2,1,1,24,3,2,AsesorÌa Externa Senadores,1381692,0
2,1,1,24,3,3,Gastos Operacionales Senadores,3839600,0
2,1,1,24,3,4,Personal Apoyo ComitÈs,407785,0
2,1,1,24,3,5,AsesorÌa Externa ComitÈs,1187076,0
2,1,1,24,3,6,Gastos Operacionales ComitÈs,10234,0
2,1,1,24,3,7,Otras Transferencias,740013,0
2,1,1,24,7,,A Organismos Internacionales,33949,0
2,1,1,24,7,1,AsociaciÛn de Congresos,33949,0
2,1,1,29,,,ADQUISICI”N DE ACTIVOS NO FINANCIEROS,984156,0
2,1,1,29,3,,VehÌculos,16892,0
2,1,1,29,4,,Mobiliario y Otros,27122,0
2,1,1,29,5,,M·quinas y Equipos,369968,0
2,1,1,29,6,,Equipos Inform·ticos,315387,0
2,1,1,29,7,,Programas Inform·ticos,182687,0
2,1,1,29,99,,Otros Activos no Financieros,72100,0
2,1,1,31,,,INICIATIVAS DE INVERSI”N,641133,0
